lambda1,beta0,beta1,beta2,beta3
0.01,-0.05166549492772338,1.0559849391497473,-2.0595918923191237,0.12074944369242793
0.027825594022071243,-0.05056669130165625,1.0559123242710904,-2.059523041599623,0.11830075656633454
0.0774263682681127,-0.05100115292241684,1.0546577269918267,-2.054363668101055,0.11933641491938984
0.21544346900318834,-0.05256944825149225,1.051495211239449,-2.0486347337660398,0.11947521995129577
0.5994842503189409,-0.05088000551641003,1.0313750580586374,-2.010678331573219,0.11639545753848506
1.6681005372000592,-0.04404683513840201,0.9435347014097741,-1.8441830465098512,0.107447257976839
4.6415888336127775,-0.033356852172165316,0.7100651300105474,-1.400981126176109,0.08114248609462904
12.915496650148826,-0.018929555914515072,0.3930340117459263,-0.7761797070411267,0.04641021006940796
35.93813663804626,-0.00658797244382073,0.13663502715325543,-0.2672520470914611,0.016812477940488495
100.0,-0.0012769670577961775,0.025932071382368145,-0.05088922399134009,0.00337453091768494
